00.075851,A,slurping,0
00.075912,C,slurping,2
00.075945,E,slurping,1
00.075972,F,slurping,2
00.075999,G,slurping,0
00.076251,H,slurping,1
01.076763,A,swallowing
01.076803,F,swallowing
01.076835,G,swallowing
01.076862,C,swallowing
01.076885,E,swallowing
01.077071,H,swallowing
01.086736,B,slurping,1
01.086756,D,slurping,0
02.077729,F,idle
02.077740,A,idle
02.077770,F,slurping,0
02.077779,A,slurping,1
02.077804,G,idle
02.077833,C,idle
02.077860,E,idle
02.077882,E,slurping,2
02.078065,H,idle
02.078098,H,slurping,2
02.087709,B,swallowing
02.087722,D,swallowing
02.097715,G,slurping,1
02.097751,C,slurping,0
03.078703,F,swallowing
03.078714,A,swallowing
03.078739,E,swallowing
03.080005,H,swallowing
03.088692,B,idle
03.088716,B,slurping,2
03.088727,D,idle
03.088739,D,slurping,1
03.098673,G,swallowing
03.098702,C,swallowing
04.079655,F,idle
04.079691,A,idle
04.079712,F,slurping,1
04.079742,E,idle
04.079751,A,slurping,2
04.079768,E,slurping,0
04.081986,H,idle
04.082020,H,slurping,0
04.089675,B,swallowing
04.089689,D,swallowing
04.099650,G,idle
04.099673,G,slurping,2
04.099708,C,idle
04.099729,C,slurping,1
05.080639,F,swallowing
05.080658,A,swallowing
05.080672,E,swallowing
05.082970,H,swallowing
05.090657,B,idle
05.090684,D,idle
05.090696,D,slurping,2
05.090702,B,slurping,0
05.100633,G,swallowing
05.100659,C,swallowing
06.081614,F,idle
06.081649,F,slurping,2
06.081661,A,idle
06.081684,E,idle
06.081693,A,slurping,0
06.081714,E,slurping,1
06.083950,H,idle
06.083984,H,slurping,1
06.092641,D,swallowing
06.092659,B,swallowing
06.101615,G,idle
06.101638,G,slurping,0
06.101663,C,idle
06.101688,C,slurping,2
07.082608,F,swallowing
07.082624,A,swallowing
07.082638,E,swallowing
07.084917,H,swallowing
07.093623,D,idle
07.093640,D,slurping,0
07.093653,B,idle
07.093664,B,slurping,1
07.102598,G,swallowing
07.102623,C,swallowing
08.083597,F,idle
08.083610,A,idle
08.083637,F,slurping,0
08.083648,A,slurping,1
08.083669,E,idle
08.083691,E,slurping,2
08.085927,H,idle
08.085964,H,slurping,2
08.094606,D,swallowing
08.094624,B,swallowing
08.103582,G,idle
08.103606,G,slurping,1
08.103632,C,idle
08.103653,C,slurping,0
09.084579,F,swallowing
09.084589,A,swallowing
09.084621,E,swallowing
09.086906,H,swallowing
09.095590,D,idle
09.095608,D,slurping,1
09.095621,B,idle
09.095633,B,slurping,2
09.104567,G,swallowing
09.104594,C,swallowing
10.085584,F,idle
10.085621,A,idle
10.085633,E,idle
10.085645,A,slurping,2
10.085664,E,slurping,0
10.085695,F,slurping,1
10.087889,H,idle
10.087926,H,slurping,0
10.096577,D,swallowing
10.096594,B,swallowing
10.105551,G,idle
10.105577,G,slurping,2
10.105607,C,idle
10.105642,C,slurping,1
11.086577,E,swallowing
11.086589,A,swallowing
11.086616,F,swallowing
11.088874,H,swallowing
11.097556,D,idle
11.097586,B,idle
11.097599,B,slurping,0
11.097606,D,slurping,2
11.106537,G,swallowing
11.106569,C,swallowing
12.087555,E,idle
12.087569,A,idle
12.087598,E,slurping,1
12.087609,A,slurping,0
12.087635,F,idle
12.087661,F,slurping,2
12.090854,H,idle
12.090893,H,slurping,1
12.098538,B,swallowing
12.098553,D,swallowing
12.107537,G,idle
12.107568,G,slurping,0
12.107601,C,idle
12.107624,C,slurping,2
13.088540,E,swallowing
13.088575,A,swallowing
13.088594,F,swallowing
13.091839,H,swallowing
13.099525,B,idle
13.099544,B,slurping,1
13.099560,D,idle
13.099575,D,slurping,0
13.108505,G,swallowing
13.108537,C,swallowing
14.089485,E,idle
14.089506,A,idle
14.089526,E,slurping,2
14.089536,A,slurping,1
14.089559,F,idle
14.089596,F,slurping,0
14.092820,H,idle
14.092858,H,slurping,2
14.100504,B,swallowing
14.100520,D,swallowing
14.109481,G,idle
14.109567,C,idle
15.090489,A,swallowing
15.091507,E,swallowing
15.091540,F,swallowing
15.093805,H,swallowing
15.101487,B,idle
15.101530,D,idle
16.091472,A,idle
16.092454,E,idle
16.092500,F,idle
16.094787,H,idle
